koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,kepid
86.049055,29.28,429.9,2.06,0.2597,8.0,410.0,6.68,5733.0,4.432,0.997,CANDIDATE,8160953
5.007414194,1.3584,4413.9,8.8,0.926,196.6,1114.0,363.75,5957.0,4.417,1.042,CANDIDATE,10158418
17.50441726,4.2585,725.4,3.56,0.006,47.5,824.0,108.78,5815.0,4.16,1.329,CANDIDATE,3648437
86.7490807,9.179,547.1,2.23,0.003,35.7,398.0,5.94,5579.0,4.419,0.97,CANDIDATE,2449431
3.261759866,1.7593,3876.1,8.01,0.949,190.4,1262.0,599.54,6131.0,4.497,0.945,CANDIDATE,5731623
20.92735802,3.4256,8091.0,17.36,0.991,263.5,735.0,69.08,6126.0,4.358,1.109,CANDIDATE,10602291
30.5231459,2.7286,2212.3,11.26,1.06,38.7,506.0,15.46,5518.0,4.585,0.79,CANDIDATE,9883311
28.78270955,3.451,864.5,2.11,0.002,40.1,443.0,9.09,4774.0,4.58,0.745,CANDIDATE,4242147
4.539297295,1.9455,798.1,2.34,0.83,50.3,830.0,112.09,4914.0,4.61,0.724,CANDIDATE,4349442
6.73679732,2.36,,,,,,,,,,CANDIDATE,10005788
124.03589939,4.8472,7690.0,11.13,0.075,190.1,413.0,6.88,5822.0,4.244,1.28,CANDIDATE,10656508
17.1181036,1.29,167.7,1.22,0.4346,6.1,654.0,43.25,5576.0,4.515,0.929,CANDIDATE,11656918
8.29482811,2.7437,559.5,2.76,0.932,38.1,876.0,139.38,5773.0,4.478,0.939,CANDIDATE,10844890
10.240611361,0.9617,2958.0,3.9,0.786,72.0,656.0,43.85,5227.0,4.623,0.64,CANDIDATE,8624520
23.11707222,3.9948,2407.5,4.37,0.807,61.2,548.0,21.26,5275.0,4.505,0.796,CANDIDATE,4851530
4.77502117,1.7087,451.4,1.73,0.518,16.7,926.0,174.23,5275.0,4.505,0.796,CANDIDATE,4851530
5.69590202,3.5661,4921.1,6.61,0.049,391.2,1043.0,279.61,6106.0,4.497,0.94,CANDIDATE,6300348
2.64622742,1.407,155.5,0.99,0.478,8.4,1082.0,324.38,5167.0,4.555,0.787,CANDIDATE,11030475
65.18703725,5.44,,,,,,,,,,CANDIDATE,7033233
6.69332825,2.311,781.8,2.44,0.952,23.4,609.0,32.54,4245.0,4.641,0.637,CANDIDATE,8261920
29.0726293,2.516,439.6,2.32,0.682,20.9,614.0,33.69,5799.0,4.37,1.042,CANDIDATE,6119141
6.6254781,2.358,122.0,0.9,0.2113,2.7,828.0,111.18,5211.0,4.5,0.832,CANDIDATE,3734418
1.34145255,7.502,26.6,1.31,0.68,31.2,3015.0,19568.74,7495.0,3.926,2.389,CANDIDATE,9654875
14.97974335,4.126,1211.8,3.79,0.93,33.2,620.0,34.95,5062.0,4.481,0.853,CANDIDATE,3097926
6.7445683,3.813,86.6,0.86,0.1199,6.8,983.0,220.68,6106.0,4.496,0.923,CANDIDATE,10518424
33.35859852,2.286,1825.9,4.44,0.937,32.2,459.0,10.46,5009.0,4.515,0.799,CANDIDATE,5730445
6.3143447,2.796,191.4,1.34,0.0584,6.4,1012.0,247.53,6075.0,4.486,0.969,CANDIDATE,5602588
78.7327023,5.041,495.8,7.76,0.956,19.1,761.0,79.13,6715.0,3.754,2.763,CANDIDATE,5385304
42.3375799,4.924,354.8,1.45,0.947,18.1,311.0,2.21,4132.0,4.682,0.581,CANDIDATE,11462341
1.834277283,1.7499,286.5,1.64,0.381,24.8,1459.0,1068.36,5751.0,4.458,0.958,CANDIDATE,11073656
1.151244686,1.272,269.6,40.32,1.387,32.6,1756.0,2253.09,6086.0,4.511,0.921,CANDIDATE,7215678
2.42088277,2.812,223.3,2.27,0.227,20.7,1616.0,1615.12,5583.0,4.077,1.53,CANDIDATE,7449554
