koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,target,koi_disposition,kepid
7.21203748,4.0491,950.4,3.32,0.012,51.5,1025.0,260.58,6214.0,4.442,1.076,1,CONFIRMED,3342970
14.1798187,2.505,459.9,1.88,0.1601,11.2,711.0,60.35,5799.0,4.539,0.878,0,FALSE POSITIVE,12459725
8.47237911,2.7245,1123.5,2.59,0.022,47.6,751.0,75.44,5354.0,4.587,0.788,1,CONFIRMED,12470844
60.4189369,5.039,931.3,2.36,0.094,20.1,390.0,5.49,5354.0,4.587,0.788,1,CONFIRMED,12470844
12.611904345,5.1497,6105.6,7.4,0.55,277.2,753.0,76.15,5795.0,4.508,0.919,1,CONFIRMED,12644822
1.433769925,1.8868,1976.3,46.58,1.268,112.6,1920.0,3209.29,6017.0,4.22,1.339,0,FALSE POSITIVE,2440757
10.31872301,3.836,871.7,28.59,1.215,38.2,876.0,139.26,5927.0,4.409,1.06,0,FALSE POSITIVE,2445129
2.539183147,2.4282,382.1,2.06,0.238,38.9,1332.0,743.09,5519.0,4.35,1.062,1,CONFIRMED,2713049
6.770300385,2.0844,1304.0,2.77,0.838,50.8,812.0,102.87,5653.0,4.656,0.679,1,CONFIRMED,3114167
0.444291966,2.0792,10967.4,27.51,1.258,299.7,1836.0,2706.26,5255.0,4.678,0.636,0,FALSE POSITIVE,3114661
20.06036336,3.3203,1494.7,1.96,0.556,35.2,361.0,4.0,3950.0,4.754,0.493,1,CONFIRMED,4139816
46.1842039,4.758,1394.7,1.83,0.013,26.0,273.0,1.32,3950.0,4.754,0.493,1,CONFIRMED,4139816
23.9800854,5.351,104.0,1.31,0.95,17.1,649.0,41.94,5854.0,4.406,1.012,1,CONFIRMED,8395660
7.82502168,2.186,520.8,1.2,0.708,15.9,494.0,14.05,3950.0,4.754,0.493,1,CONFIRMED,4139816
3.895936525,2.3111,8544.8,7.34,0.524,370.8,1005.0,241.62,5557.0,4.592,0.774,1,CONFIRMED,4275191
22.36646466,5.228,986.8,2.32,0.4,32.1,536.0,19.45,5395.0,4.615,0.734,1,CONFIRMED,4476123
1.625522174,2.38963,7969.0,9.73,0.076,799.7,1579.0,1467.41,5539.0,4.322,1.106,1,CONFIRMED,3351888
7.544039,6.222,322.6,17.47,1.175,14.2,838.0,116.46,5657.0,4.567,0.824,0,FALSE POSITIVE,3554600
9.02930689,3.1449,1019.8,2.57,0.024,53.9,757.0,77.75,5349.0,4.526,0.82,1,CONFIRMED,3641726
10.328035714,7.7915,16917.7,13.28,0.281,636.8,843.0,119.31,5627.0,4.359,1.024,0,FALSE POSITIVE,3734868
143.2063047,8.9302,10565.7,8.9,0.379,138.8,308.0,2.14,5485.0,4.556,0.867,1,CONFIRMED,3832474
6.164876,3.262,55.8,0.79,0.646,14.4,1021.0,256.35,5854.0,4.406,1.012,1,CONFIRMED,8395660
60.32494216,6.6188,20280.4,12.19,0.224,347.2,411.0,6.77,5485.0,4.556,0.867,1,CONFIRMED,3832474
29.1598615,4.803,488.0,1.91,0.3619,11.6,524.0,17.85,5485.0,4.556,0.867,1,CONFIRMED,3832474
1.540397253,2.1541,816.1,25.69,1.225,38.8,1470.0,1105.68,5663.0,4.53,0.915,0,FALSE POSITIVE,3836375
2.99025443,5.414,589.2,1.7,0.014,48.5,918.0,168.45,4667.0,4.578,0.731,0,FALSE POSITIVE,3838486
1.594745374,1.9604,15044.5,11.3,0.514,1009.3,1539.0,1329.42,5934.0,4.491,0.893,1,CONFIRMED,3935914
4.783002698,2.335,1008.7,2.5,0.003,70.6,886.0,145.48,5170.0,4.574,0.807,1,CONFIRMED,3940418
20.50588921,4.0595,2105.5,3.41,0.26,78.5,518.0,17.06,4905.0,4.544,0.761,1,CONFIRMED,4049131
3.340218842,1.9104,1632.6,2.03,0.466,71.6,656.0,43.73,3950.0,4.754,0.493,1,CONFIRMED,4139816
2.507089906,2.0067,1339.2,30.26,1.255,64.9,1326.0,730.47,5926.0,4.506,0.939,0,FALSE POSITIVE,5287983
18.64932728,4.4056,893.6,3.12,0.08,46.1,701.0,57.13,5775.0,4.405,1.053,1,CONFIRMED,5358241
4.90144976,4.1654,140.7,1.7,0.529,50.6,1262.0,598.74,5847.0,4.191,1.402,1,CONFIRMED,10875245
9.75192101,4.793,418.0,2.76,0.949,28.5,870.0,135.66,5775.0,4.405,1.053,1,CONFIRMED,5358241
38.5576546,5.794,993.0,4.02,0.911,39.7,550.0,21.71,5775.0,4.405,1.053,1,CONFIRMED,5358241
3.525632539,2.59959,22335.0,11.58,0.12,1996.7,975.0,213.12,5150.0,4.572,0.793,1,CONFIRMED,5358624
7.748094239,3.5957,2472.1,5.52,0.517,113.2,964.0,204.39,5973.0,4.439,1.085,1,CONFIRMED,4664847
23.96793669,3.827,1182.3,1.8,0.416,27.5,329.0,2.77,3747.0,4.728,0.524,1,CONFIRMED,4725681
8.29561738,1.3421,824.3,1.82,0.888,17.9,469.0,11.39,3747.0,4.728,0.524,1,CONFIRMED,4725681
8.11437482,2.2736,1558.0,2.1,0.573,56.4,460.0,10.55,3692.0,4.753,0.517,1,CONFIRMED,4913852
38.036729482,4.34617,82871.6,27.5,0.501,1300.0,500.0,14.81,5575.0,4.521,0.932,0,FALSE POSITIVE,4932348
3.747838198,5.0642,616.0,13.65,1.121,138.2,1031.0,266.76,5514.0,4.569,0.826,0,FALSE POSITIVE,11913073
14.74914825,6.0995,430.2,2.89,0.173,107.4,874.0,137.91,5847.0,4.191,1.402,1,CONFIRMED,10875245
21.81295996,4.3791,1175.4,3.38,0.053,37.8,639.0,39.33,5601.0,4.41,0.999,1,CONFIRMED,5021899
7.91936937,3.3148,15148.1,10.34,0.733,389.0,814.0,104.0,5690.0,4.588,0.776,0,FALSE POSITIVE,5077629
15.37562369,3.3169,15337.0,11.01,0.692,166.0,600.0,30.54,4986.0,4.496,0.833,1,CONFIRMED,5164255
8.10363271,3.161,887.9,2.11,0.047,39.3,687.0,52.82,4861.0,4.574,0.732,1,CONFIRMED,5252423
4.71510843,2.506,417.5,1.46,0.258,21.3,823.0,108.84,4861.0,4.574,0.732,1,CONFIRMED,5252423
6.365839713,2.9721,780.7,2.44,0.524,70.8,914.0,165.33,5776.0,4.554,0.849,1,CONFIRMED,5272878
5.97581754,3.065,962.4,3.86,0.941,50.3,1047.0,284.25,6108.0,4.471,0.997,0,FALSE POSITIVE,5283542
2.446737317,4.7211,1177.9,26.25,1.241,110.2,1261.0,597.19,5764.0,4.548,0.863,0,FALSE POSITIVE,5649215
3.04033046,1.8411,10858.8,8.99,0.736,568.2,1021.0,257.29,5035.0,4.519,0.791,1,CONFIRMED,5651104
15.33528675,3.897,3081.4,5.0,0.773,86.6,610.0,32.67,5251.0,4.581,0.817,1,CONFIRMED,5792202
7.95825328,4.377,50.0,1.06,0.706,14.7,1074.0,314.15,5847.0,4.191,1.402,1,CONFIRMED,10875245
31.33046135,5.176,5073.8,6.5,0.798,117.2,481.0,12.61,5251.0,4.581,0.817,1,CONFIRMED,5792202
3.9043425,3.831,16228.4,12.28,0.709,323.4,1104.0,351.05,5810.0,4.526,0.898,0,FALSE POSITIVE,5370302
9.286358079,3.49949,44791.4,17.61,0.377,1671.1,796.0,95.03,5670.0,4.523,0.821,0,FALSE POSITIVE,5372966
3.951405455,2.1862,2453.9,31.44,1.276,117.2,1133.0,388.71,6046.0,4.539,0.869,0,FALSE POSITIVE,5376067
23.65369415,8.2183,3341.8,7.89,0.008,266.3,731.0,67.65,5739.0,4.191,1.384,1,CONFIRMED,5436502
13.23352214,6.7372,504.6,3.06,0.014,49.1,888.0,146.67,5739.0,4.191,1.384,1,CONFIRMED,5436502
6.15560285,4.9843,285.0,2.32,0.235,35.1,1146.0,406.94,5739.0,4.191,1.384,1,CONFIRMED,5436502
2.090811305,3.388,115.9,1.62,0.746,19.9,1642.0,1718.04,5739.0,4.191,1.384,1,CONFIRMED,5436502
3.180027898,3.5797,120.3,1.53,0.196,50.4,1458.0,1066.86,5847.0,4.191,1.402,1,CONFIRMED,10875245
50.4467417,7.159,370.3,2.67,0.379,19.4,568.0,24.64,5739.0,4.191,1.384,1,CONFIRMED,5436502
11.76307164,2.9076,1037.3,2.35,0.048,48.9,616.0,33.99,4959.0,4.603,0.756,1,CONFIRMED,5456651
56.2279271,3.57,862.7,2.37,0.7,20.9,366.0,4.22,4959.0,4.603,0.756,1,CONFIRMED,5456651
2.384052875,3.0918,1268.1,17.06,1.178,50.5,1010.0,244.87,4794.0,4.58,0.701,0,FALSE POSITIVE,5481416
7.953547,2.6312,875.4,2.25,0.3,38.4,696.0,55.37,4768.0,4.536,0.779,1,CONFIRMED,5531576
4.14451656,2.3421,391.8,1.48,0.004,22.8,864.0,132.08,4768.0,4.536,0.779,1,CONFIRMED,5531576
4.859386384,2.2757,6044.3,38.33,1.259,269.7,1114.0,364.23,6072.0,4.47,0.988,0,FALSE POSITIVE,5534814
10.526294577,2.5211,9768.0,8.24,0.644,482.3,713.0,61.16,5386.0,4.553,0.793,1,CONFIRMED,6291653
4.583520948,2.7055,3812.1,5.39,0.045,99.5,1038.0,274.98,5815.0,4.54,0.877,1,CONFIRMED,6392727
3.76181843,3.5176,510.6,2.66,0.926,35.9,1121.0,372.62,5653.0,4.472,0.949,1,CONFIRMED,6422070
8.20396958,2.9667,1024.4,3.01,0.823,54.4,742.0,71.5,5015.0,4.499,0.826,1,CONFIRMED,6428700
14.49645186,4.016,647.5,3.01,0.97,25.7,613.0,33.48,5015.0,4.499,0.826,1,CONFIRMED,6428700
